section_code,block_index,page,image,observed_title,matched_title,status,corrected_observed_title,corrected_matched_title,notes
111,1,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,"Analysis and Measurement, Physical and Chemical",Physical and Chemical ANALYSIS AND MEASUREMENT,verified,,,
111,1,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,"Physical Science, Principles of",Principles of PHYSICAL SCIENCE,verified,,,
111,1,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
112,1,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,"Analysis and Measurement, Physical and Chemical",Physical and Chemical ANALYSIS AND MEASUREMENT,verified,,,
112,1,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,Subatomic Particles,SUBATOMIC PARTICLES,verified,,,
112,1,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
123,1,36,propaedia_pages/part_1/propaedia-2010-part-01-photo-05.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
124,1,39,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
124,1,39,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg,"Thermodynamics, Principles of",Principles of THERMODYNAMICS,verified,,,
128,1,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,"Optics, Principles of",Principles of OPTICS,verified,,,
131,1,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,"Analysis and Measurement, Physical and Chemical",Physical and Chemical ANALYSIS AND MEASUREMENT,verified,,,
131,1,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,"Cosmos, The",The Cosmos,verified,,,
131,1,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
132,1,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,"Cosmos, The",The Cosmos,verified,,,
132,1,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
133,1,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
133,1,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
133,1,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,"Solar System, The",The SOLAR SYSTEM,verified,,,
211,1,66,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
211,1,66,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,"Solar System, The",The SOLAR SYSTEM,verified,,,
212,1,67,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
213,1,68,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
214,1,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
214,1,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,"Fuels, Fossil",Fossil FUELS,verified,,,
222,1,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
222,1,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Hydrosphere, The",The HYDROSPHERE,verified,,,
231,1,80,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
232,1,84,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
241,1,86,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
242,1,88,propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
243,1,89,propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Growth and Development, Biological",Biological GROWTH AND DEVELOPMENT,verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Behaviour, Animal",Animal BEHAVIOUR,verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Biological Sciences, The",The BIOLOGICAL SCIENCES,verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Coloration, Biological",Biological COLORATION,verified,,,
